Reference, Quantity, Value, Footprint, Datasheet
BT1 ,1,"RTC_Battery","Battery:BatteryHolder_Keystone_3000_1x12mm","https://www.digikey.com/en/products/detail/keystone-electronics/3000/227440"
BT2 ,1,"Battery_Cell","Battery:BatteryHolder_MPD_BH-18650-PC2","https://www.digikey.com/en/products/detail/mpd-memory-protection-devices/BK-18650-PC2/2079908"
C1 C2 ,2,"16pF","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/kyocera-avx/08051A160JAT2A/1600914"
C3 ,1,"3.3uF","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/tdk-corporation/C2012JB1C335K125AC/3948680"
J1 ,1,"POWER_Terminal","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal","https://www.digikey.com/en/products/detail/phoenix-contact/1725656/267462"
J2 ,1,"Micro_SD_Card","Connector_Card:microSD_HC_Wuerth_693072010801","http://katalog.we-online.de/em/datasheet/693072010801.pdf"
J3 ,1,"Conn_01x06_Female","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
J4 ,1,"Conn_01x09_Female","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical","~"
J5 ,1,"ISP","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical"," ~"
J6 ,1,"Screw_Terminal_01x06","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-6-2.54_1x06_P2.54mm_Horizontal","~"
R1 ,1,"1k","Resistor_SMD:R_0805_2012Metric","~"
R2 ,1,"10k","LED_SMD:LED_0805_2012Metric_Castellated","~"
SW1 ,1,"RESET","Button_Switch_THT:SW_TH_Tactile_Omron_B3F-10xx","https://www.digikey.com/en/products/detail/omron-electronics-inc-emc-div/B3F-1020/44059?utm_adgroup=Switches&utm_source=google&utm_medium=cpc&utm_campaign=Shopping_Supplier_Omron%20EMC_0039_Co-op&utm_term=&utm_content=Switches&gclid=Cj0KCQiAxoiQBhCRARIsAPsvo-xLaLRuc0nxEl4-8aP-8P-m5A10gvuCrbHmQW7Fmg3Fe4HuBPG-VAgaApeeEALw_wcB"
SW2 ,1,"PWR_SW","Button_Switch_THT:SW_Slide_1P2T_CK_OS102011MS2Q","https://www.digikey.com/en/products/detail/c-k/OS102011MS2QN1/411602"
U1 ,1,"ATmega328P-AU","Package_QFP:TQFP-32_7x7mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf"
U2 ,1,"PCF8523T","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.nxp.com/docs/en/data-sheet/PCF8523.pdf"
Y1 ,1,"8Mhz","Crystal:Crystal_SMD_TXC_AX_8045-2Pin_8.0x4.5mm","https://www.digikey.com/en/products/detail/ndk-america-inc/NX8045GB-8-000M-STD-CSF-4/5022982"
Y2 ,1,"32.768kHz","Crystal:Crystal_SMD_EuroQuartz_EQ161-2Pin_3.2x1.5mm_HandSoldering","https://www.digikey.com/en/products/detail/micro-crystal-ag/CC7V-T1A-32-768KHZ-12-5PF-20PPM-TA-QC/10499064"